127.0.0.1 - - [04/Nov/2024:14:25:08 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Nov/2024:14:25:10 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [04/Nov/2024:14:25:10 +0700] "GET /bookingTour/css/style.css HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [04/Nov/2024:14:25:10 +0700] "GET /bookingTour/images/banner1.jpg HTTP/1.1" 200 236108
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:10:28 +0700] "GET /Bootstrap/index.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:10:37 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:10:37 +0700] "GET /bookingTour/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:10:37 +0700] "GET /bookingTour/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:15:05 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 25576
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:15:05 +0700] "GET /bookingTour/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:15:06 +0700] "GET /_next/image?url=%2F_next%2Fstatic%2Fmedia%2Flogo-2.bfb5b3c3.png&w=256&q=75 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:15:06 +0700] "GET /_next/image?url=%2Fimages%2Ficons%2Fzalo.png&w=32&q=75 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:15:06 +0700] "GET /_next/image?url=%2Fimages%2Fnotify.png&w=256&q=75 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:17:51 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5628
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:17:51 +0700] "GET /bookingTour/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:18:21 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5629
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:18:26 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5629
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:18:50 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5635
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:18:53 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5635
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:18:53 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5635
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:18:54 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5635
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:19:05 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5643
0:0:0:0:0:0:0:1 - - [04/Nov/2024:15:26:44 +0700] "GET /bookingTour/index.jsp HTTP/1.1" 200 5730
